School Name,Grade,Year,Category,Number Tested,Mean Scale Score
P.S. 188 THE ISLAND SCHOOL,7,2014,Male,31,266
P.S. 188 THE ISLAND SCHOOL,8,2013,Female,30,275
P.S. 188 THE ISLAND SCHOOL,8,2013,Male,29,284
P.S. 188 THE ISLAND SCHOOL,8,2014,Female,31,298
P.S. 188 THE ISLAND SCHOOL,8,2014,Male,25,294
P.S. 188 THE ISLAND SCHOOL,All Grades,2013,Female,143,277
P.S. 188 THE ISLAND SCHOOL,All Grades,2013,Male,156,281
P.S. 188 THE ISLAND SCHOOL,All Grades,2014,Female,151,287
P.S. 188 THE ISLAND SCHOOL,All Grades,2014,Male,151,276
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2013,Female,3,s
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2013,Male,14,263
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2014,Female,5,s
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2014,Male,8,265
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2013,Female,8,270
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2013,Male,19,252
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2014,Female,4,s
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2014,Male,14,256
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2013,Female,12,251
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2013,Male,14,241
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2014,Female,11,266
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2014,Male,17,265
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2013,Female,23,258
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2013,Male,47,252
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2014,Female,20,269
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2014,Male,39,262
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2013,Female,13,282
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2013,Male,33,280
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2014,Female,22,292
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2014,Male,20,285
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2013,Female,23,287
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2013,Male,33,282
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2014,Female,13,275
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2014,Male,33,273
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,2013,Female,22,283
