School Name,Grade,Year,Category,Number Tested,Mean Scale Score
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Asian,25,334
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Black,58,297
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Hispanic,172,297
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,White,4,s
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Asian,18,343
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Black,62,293
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Hispanic,174,294
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,White,7,314
THE STAR ACADEMY - P.S.63,3,2013,Asian,1,s
THE STAR ACADEMY - P.S.63,3,2013,Black,5,s
THE STAR ACADEMY - P.S.63,3,2013,Hispanic,11,267
THE STAR ACADEMY - P.S.63,3,2013,White,2,s
THE STAR ACADEMY - P.S.63,3,2014,Asian,2,s
THE STAR ACADEMY - P.S.63,3,2014,Black,6,297
THE STAR ACADEMY - P.S.63,3,2014,Hispanic,10,312
THE STAR ACADEMY - P.S.63,4,2013,Black,4,s
THE STAR ACADEMY - P.S.63,4,2013,Hispanic,14,276
THE STAR ACADEMY - P.S.63,4,2013,White,3,s
THE STAR ACADEMY - P.S.63,4,2014,Asian,2,s
THE STAR ACADEMY - P.S.63,4,2014,Black,6,322
THE STAR ACADEMY - P.S.63,4,2014,Hispanic,8,295
THE STAR ACADEMY - P.S.63,4,2014,White,2,s
THE STAR ACADEMY - P.S.63,5,2013,Asian,3,s
THE STAR ACADEMY - P.S.63,5,2013,Black,3,s
THE STAR ACADEMY - P.S.63,5,2013,Hispanic,14,293
THE STAR ACADEMY - P.S.63,5,2013,White,1,s
THE STAR ACADEMY - P.S.63,5,2014,Black,4,s
THE STAR ACADEMY - P.S.63,5,2014,Hispanic,12,275
THE STAR ACADEMY - P.S.63,5,2014,White,1,s
THE STAR ACADEMY - P.S.63,All Grades,2013,Asian,4,s
THE STAR ACADEMY - P.S.63,All Grades,2013,Black,12,289
THE STAR ACADEMY - P.S.63,All Grades,2013,Hispanic,39,279
THE STAR ACADEMY - P.S.63,All Grades,2013,White,6,303
THE STAR ACADEMY - P.S.63,All Grades,2014,Asian,4,s
THE STAR ACADEMY - P.S.63,All Grades,2014,Black,16,304
THE STAR ACADEMY - P.S.63,All Grades,2014,Hispanic,30,293
THE STAR ACADEMY - P.S.63,All Grades,2014,White,3,s
P.S. 064 ROBERT SIMON,3,2013,Asian,3,s
P.S. 064 ROBERT SIMON,3,2013,Black,7,274
P.S. 064 ROBERT SIMON,3,2013,Hispanic,20,272
P.S. 064 ROBERT SIMON,3,2013,White,2,s
P.S. 064 ROBERT SIMON,3,2014,Asian,4,s
P.S. 064 ROBERT SIMON,3,2014,Black,12,300
P.S. 064 ROBERT SIMON,3,2014,Hispanic,24,291
P.S. 064 ROBERT SIMON,3,2014,White,2,s
P.S. 064 ROBERT SIMON,4,2013,Asian,1,s
P.S. 064 ROBERT SIMON,4,2013,Black,13,276
P.S. 064 ROBERT SIMON,4,2013,Hispanic,25,280
P.S. 064 ROBERT SIMON,4,2013,White,2,s
P.S. 064 ROBERT SIMON,4,2014,Asian,3,s
P.S. 064 ROBERT SIMON,4,2014,Black,7,286
P.S. 064 ROBERT SIMON,4,2014,Hispanic,20,284
P.S. 064 ROBERT SIMON,4,2014,White,1,s
P.S. 064 ROBERT SIMON,5,2013,Asian,5,s
P.S. 064 ROBERT SIMON,5,2013,Black,7,282
P.S. 064 ROBERT SIMON,5,2013,Hispanic,26,284
P.S. 064 ROBERT SIMON,5,2014,Asian,2,s
P.S. 064 ROBERT SIMON,5,2014,Black,12,291
P.S. 064 ROBERT SIMON,5,2014,Hispanic,22,289
P.S. 064 ROBERT SIMON,5,2014,White,2,s
P.S. 064 ROBERT SIMON,All Grades,2013,Asian,9,320
P.S. 064 ROBERT SIMON,All Grades,2013,Black,27,277
P.S. 064 ROBERT SIMON,All Grades,2013,Hispanic,71,279
P.S. 064 ROBERT SIMON,All Grades,2013,White,4,s
P.S. 064 ROBERT SIMON,All Grades,2014,Asian,9,322
P.S. 064 ROBERT SIMON,All Grades,2014,Black,31,293
P.S. 064 ROBERT SIMON,All Grades,2014,Hispanic,66,288
P.S. 064 ROBERT SIMON,All Grades,2014,White,5,s
P.S. 110 FLORENCE NIGHTINGALE,3,2013,Asian,7,322
P.S. 110 FLORENCE NIGHTINGALE,3,2013,Black,4,s
P.S. 110 FLORENCE NIGHTINGALE,3,2013,Hispanic,27,313
P.S. 110 FLORENCE NIGHTINGALE,3,2013,White,15,337
P.S. 110 FLORENCE NIGHTINGALE,3,2014,Asian,6,350
P.S. 110 FLORENCE NIGHTINGALE,3,2014,Black,7,278
P.S. 110 FLORENCE NIGHTINGALE,3,2014,Hispanic,36,310
P.S. 110 FLORENCE NIGHTINGALE,3,2014,White,17,340
P.S. 110 FLORENCE NIGHTINGALE,4,2013,Asian,4,s
P.S. 110 FLORENCE NIGHTINGALE,4,2013,Black,8,316
P.S. 110 FLORENCE NIGHTINGALE,4,2013,Hispanic,17,296
